article:ID;ee:string[];key:string;title:string
11381;http://doi.ieeecomputersociety.org/10.1109/69.87977|https://doi.org/10.1109/69.87977;journals/tkde/Osborn89;The Role of Polymorphism in Schema Evolution in an Object-Oriented Database.
11385;http://doi.ieeecomputersociety.org/10.1109/69.706055|https://doi.org/10.1109/69.706055;journals/tkde/FenselAS98;The Knowledge Acquisition and Representation Language KARL.
11391;http://doi.ieeecomputersociety.org/10.1109/69.75895|https://doi.org/10.1109/69.75895;journals/tkde/Wang91;Relational-Linear Quadtree Approach for Two-Dimensional Spatial Representation and Manipulation.
11397;http://doi.ieeecomputersociety.org/10.1109/69.224201|https://doi.org/10.1109/69.224201;journals/tkde/LiebeherrOA93;The Effect of Index Partitioning Schemes on the Performance of Distributed Query Processing.
11401;http://doi.ieeecomputersociety.org/10.1109/69.390243|https://doi.org/10.1109/69.390243;journals/tkde/GangulyST95;Mapping Datalog Program Execution to Networks of Procesors.
11405;http://doi.ieeecomputersociety.org/10.1109/69.87964|https://doi.org/10.1109/69.87964;journals/tkde/Baeza-YatesL89;Performance of B+-Trees with Partial Expansions.
11406;http://doi.ieeecomputersociety.org/10.1109/69.617060|https://doi.org/10.1109/69.617060;journals/tkde/MajeticL97;Authorization and Revocation in Object-Oriented Databases.
11411;http://doi.ieeecomputersociety.org/10.1109/69.317699|https://doi.org/10.1109/69.317699;journals/tkde/ONealE94;Complexity Measures for Rule-Based Programs.
11414;http://doi.ieeecomputersociety.org/10.1109/69.390247|https://doi.org/10.1109/69.390247;journals/tkde/BonattiKS95;Foundations of Secure Deductive Databases.
11418;http://doi.ieeecomputersociety.org/10.1109/69.243515|https://doi.org/10.1109/69.243515;journals/tkde/BukhariO93;Two Fully Distributed Concurrency Control Algorithms.
11421;http://doi.ieeecomputersociety.org/10.1109/69.63251|https://doi.org/10.1109/69.63251;journals/tkde/UrbanD90;Constraint Analysis: A Design Process for Specifying Operations on Objects.
11423;http://doi.ieeecomputersociety.org/10.1109/69.75889|https://doi.org/10.1109/69.75889;journals/tkde/Ghosh91;Statistical Relational Databases: Normal Forms.
11424;http://doi.ieeecomputersociety.org/10.1109/69.729707|https://doi.org/10.1109/69.729707;journals/tkde/YokooDIK98;The Distributed Constraint Satisfaction Problem: Formalization and Algorithms.
11445;http://doi.ieeecomputersociety.org/10.1109/69.617057|https://doi.org/10.1109/69.617057;journals/tkde/VassiliadisTK97;Establishing the Relevancy of the Bookkeeping Libraries to the Functional Testing of Computer Implementations.
11446;http://doi.ieeecomputersociety.org/10.1109/69.334881|https://doi.org/10.1109/69.334881;journals/tkde/Maegawa94;ConClass: A Framework for Real-Time Distributed Knowledge-Based Processing.
11459;http://doi.ieeecomputersociety.org/10.1109/69.224197|https://doi.org/10.1109/69.224197;journals/tkde/AhadY93;RQL: A Recursive Query Language.
11470;http://doi.ieeecomputersociety.org/10.1109/69.591447|https://doi.org/10.1109/69.591447;journals/tkde/FujiharaSES97;Knowledge Conceptualization Tool.
11472;http://doi.ieeecomputersociety.org/10.1109/69.649315|https://doi.org/10.1109/69.649315;journals/tkde/ZhangO97;Implication and Referential Constraints: A New Formal Reasoning.
11474;http://doi.ieeecomputersociety.org/10.1109/69.124895|https://doi.org/10.1109/69.124895;journals/tkde/ChangS92;A Universal Relation Data Model with Semantic Abstraction.
11476;http://doi.ieeecomputersociety.org/10.1109/69.277765|https://doi.org/10.1109/69.277765;journals/tkde/RundensteinerBGY94;Set Restrictions for Semantic Groupings.
11483;http://doi.ieeecomputersociety.org/10.1109/69.542029|https://doi.org/10.1109/69.542029;journals/tkde/LuNS96;Hybrid Knowledge Bases.
11486;http://doi.ieeecomputersociety.org/10.1109/69.298172|https://doi.org/10.1109/69.298172;journals/tkde/Ishida94;An Optimization Algorithm for Production Systems.
11499;http://doi.ieeecomputersociety.org/10.1109/69.634754|https://doi.org/10.1109/69.634754;journals/tkde/Terenziani97;Integrating Calendar Dates and Qualitative Temporal Constraints in the Treatment of Periodic Events.
11511;http://doi.ieeecomputersociety.org/10.1109/69.250077|https://doi.org/10.1109/69.250077;journals/tkde/ShekharHKC93;Learning Transformation Rules for Semantic Query Optimization: A Data-Driven Approach.
11517;http://doi.ieeecomputersociety.org/10.1109/69.124899|https://doi.org/10.1109/69.124899;journals/tkde/RamakrishnaR92;Optimal Distribution of Signatures in Signature Hashing.
