:START_ID;:END_ID;pages:string;volume:string;year:int;Column1
12812;9046536;574-589;5;1993;12812
12813;9046536;78-88;3;1991;12813
12816;9046536;177-185;4;1992;12816
12823;9046536;1-22;4;1992;12823
12831;9046536;455-469;6;1994;12831
12835;9046536;945-953;6;1994;12835
12845;9046536;436-453;7;1995;12845
12856;9046536;258-274;6;1994;12856
12858;9046536;407-420;30;2018;12858
12859;9046536;72-78;6;1994;12859
12861;9046536;145-155;4;1992;12861
12869;9046536;84-88;1;1989;12869
12871;9046536;545-550;5;1993;12871
12881;9046536;293-309;1;1989;12881
12882;9046536;63-83;1;1989;12882
12884;9046536;225-239;5;1993;12884
12896;9046536;179-185;9;1997;12896
12899;9046536;695-704;5;1993;12899
12904;9046536;329-335;9;1997;12904
12905;9046536;239-247;6;1994;12905
12908;9046536;76-87;5;1993;12908
12912;9046536;285-289;1;1989;12912
12948;9046536;415-420;3;1991;12948
12951;9046536;153-172;10;1998;12951
12954;9046536;285-304;8;1996;12954
12956;9046536;8-23;9;1997;12956
12961;9046536;559-571;6;1994;12961
12969;9046536;663-671;8;1996;12969
12973;9046536;448-463;9;1997;12973
12982;9046536;391-409;9;1997;12982
12983;9046536;877-893;9;1997;12983
12994;9046536;57-63;6;1994;12994
12996;9046536;220-230;2;1990;12996
13027;9046536;261-266;3;1991;13027
13030;9046536;600-624;9;1997;13030
13032;9046536;108-119;10;1998;13032
13037;9046536;337-341;3;1991;13037
13051;9046536;371-388;10;1998;13051
13055;9046536;496-509;5;1993;13055
13062;9046536;424-432;1;1989;13062
13063;9046536;985-1001;8;1996;13063
13065;9046536;44-62;2;1990;13065
13077;9046536;620-633;6;1994;13077
13085;9046536;509-516;4;1992;13085
13087;9046536;1005-1007;10;1998;13087
13088;9046536;281-289;4;1992;13088
13101;9046536;435-443;3;1991;13101
13102;9046536;901-902;5;1993;13102
13105;9046536;713-722;6;1994;13105
13109;9046536;443-453;4;1992;13109
13114;9046536;211-226;8;1996;13114
13117;9046536;641-655;7;1995;13117
13120;9046536;106-119;8;1996;13120
13127;9046536;209-221;10;1998;13127
13129;9046536;186-192;9;1997;13129
13136;9046536;378-390;7;1995;13136
13140;9046536;967-987;10;1998;13140
13145;9046536;162-167;4;1992;13145
13150;9046536;387-397;1;1989;13150
13153;9046536;572-586;6;1994;13153
13164;9046536;150-162;7;1995;13164
13167;9046536;762-774;5;1993;13167
13174;9046536;505-508;7;1995;13174
13185;9046536;269-280;3;1991;13185
13186;9046536;487-502;4;1992;13186
13187;9046536;351;8;1996;13187
13199;9046536;196-214;1;1989;13199
13203;9046536;333-339;8;1996;13203
13213;9046536;328-341;10;1998;13213
13224;9046536;387-389;3;1991;13224
13225;9046536;934-944;6;1994;13225
13246;9046536;629-643;5;1993;13246
13247;9046536;697-708;9;1997;13247
13249;9046536;725-739;7;1995;13249
13263;9046536;975-982;6;1994;13263
13268;9046536;336-340;9;1997;13268
13272;9046536;705-712;5;1993;13272
13273;9046536;1-3;2;1990;13273
13283;9046536;252-256;3;1991;13283
13290;9046536;525-537;3;1991;13290
13295;9046536;227-240;8;1996;13295
13296;9046536;813-825;5;1993;13296
13297;9046536;172-184;3;1991;13297
13304;9046536;941-955;9;1997;13304
13309;9046536;731-746;9;1997;13309
13311;9046536;666-667;10;1998;13311
13319;9046536;155-161;5;1993;13319
13355;9046536;327-341;2;1990;13355
13360;9046536;251-261;9;1997;13360
13361;9046536;24-31;9;1997;13361
13368;9046536;865-884;7;1995;13368
13369;9046536;885-899;7;1995;13369
13374;9046536;371-381;4;1992;13374
13378;9046536;152-165;6;1994;13378
13379;9046536;866-883;8;1996;13379
13390;9046536;125-142;2;1990;13390
13398;9046536;563-575;10;1998;13398
13417;9046536;609-619;6;1994;13417
13428;9046536;193-209;7;1995;13428
13429;9046536;508-518;1;1989;13429
13431;9046536;534-542;5;1993;13431
13438;9046536;79-85;6;1994;13438
13445;9046536;572-581;4;1992;13445
13446;9046536;758-772;8;1996;13446
13448;9046536;137-148;3;1991;13448
13449;9046536;357-370;3;1991;13449
13458;9046536;1152-1160;17;2005;13458
13463;9046536;634-639;6;1994;13463
13466;9046536;826-832;9;1997;13466
13482;9046536;787-804;6;1994;13482
13485;9046536;412-419;6;1994;13485
13489;9046536;361-381;6;1994;13489
13496;9046536;106-119;7;1995;13496
13501;9046536;492-496;8;1996;13501
13503;9046536;979-984;5;1993;13503
13509;9046536;649-654;6;1994;13509
13515;9046536;471-486;7;1995;13515
13520;9046536;539-558;9;1997;13520
13521;9046536;275-291;9;1997;13521
13524;9046536;658-669;5;1993;13524
13527;9046536;399-414;3;1991;13527
13530;9046536;682-694;5;1993;13530
13542;9046536;261-273;7;1995;13542
13551;9046536;18-24;3;1991;13551
13555;9046536;979-993;28;2016;13555
13557;9046536;17-32;1;1989;13557
13559;9046536;342-352;2;1990;13559
13561;9046536;839-854;10;1998;13561
13563;9046536;459-469;1;1989;13563
13566;9046536;205-224;6;1994;13566
13576;9046536;612-631;10;1998;13576
13580;9046536;96-107;6;1994;13580
13581;9046536;149-159;3;1991;13581
13585;9046536;485-493;1;1989;13585
13586;9046536;786-801;8;1996;13586
13589;9046536;241-259;8;1996;13589
13592;9046536;454-474;4;1992;13592
13602;9046536;416-428;8;1996;13602
13603;9046536;283-294;2;1990;13603
13607;9046536;345-351;8;1996;13607
13609;9046536;38-54;10;1998;13609
13613;9046536;830-834;6;1994;13613
13616;9046536;160-171;3;1991;13616
13617;9046536;414-423;1;1989;13617
13623;9046536;970-974;8;1996;13623
13628;9046536;420-429;6;1994;13628
13634;9046536;642-645;9;1997;13634
13635;9046536;173-189;2;1990;13635
13642;9046536;713-724;7;1995;13642
13643;9046536;161-172;2;1990;13643
13647;9046536;173-189;10;1998;13647
13655;9046536;173-184;1;1989;13655
13659;9046536;549-562;11;1999;13659
13663;9046536;481-486;12;2000;13663
13667;9046536;193-200;3;1991;13667
13668;9046536;25-32;3;1991;13668
13670;9046536;120-136;7;1995;13670
13673;9046536;508-510;7;1995;13673
13675;9046536;698-712;6;1994;13675
13678;9046536;706-726;10;1998;13678
13686;9046536;479-495;5;1993;13686
13696;9046536;683-690;7;1995;13696
13697;9046536;946-951;8;1996;13697
13702;9046536;600-610;5;1993;13702
13707;9046536;391-402;8;1996;13707
13710;9046536;555-562;8;1996;13710
13714;9046536;529-540;4;1992;13714
13719;9046536;304-315;6;1994;13719
13720;9046536;590-599;5;1993;13720
13721;9046536;38-56;6;1994;13721
13731;9046536;604-616;8;1996;13731
13732;9046536;310-327;10;1998;13732
13735;9046536;258-273;1;1989;13735
13737;9046536;653-660;9;1997;13737
13739;9046536;144-156;8;1996;13739
13741;9046536;339-344;8;1996;13741
13749;9046536;926-938;5;1993;13749
13750;9046536;16-31;8;1996;13750
13751;9046536;421-434;9;1997;13751
13752;9046536;941-947;7;1995;13752
13760;9046536;587-599;9;1997;13760
13765;9046536;215-225;1;1989;13765
13767;9046536;228-245;7;1995;13767
13773;9046536;617-629;8;1996;13773
13779;9046536;504-524;3;1991;13779
13784;9046536;290-297;4;1992;13784
13787;9046536;650-662;8;1996;13787
13790;9046536;699-712;7;1995;13790
13794;9046536;999-1017;5;1993;13794
13810;9046536;318-327;7;1995;13810
13811;9046536;957-961;8;1996;13811
13813;9046536;1-20;10;1998;13813
13821;9046536;997-1001;6;1994;13821
13826;9046536;161-174;23;2011;13826
13832;9046536;108-119;6;1994;13832
13839;9046536;862;10;1998;13839
13841;9046536;826-842;5;1993;13841
13856;9046536;89-99;3;1991;13856
13868;9046536;45-62;1;1989;13868
